time_seconds solved_percent
0.01 0.000000
0.02 0.373832
0.021 0.560748
0.022 1.121495
0.023 1.869159
0.024 2.429907
0.025 3.364486
0.026 3.925234
0.027 4.299065
0.028 5.420561
0.029 7.102804
0.03 8.411215
0.031 8.971963
0.032 9.345794
0.033 10.093458
0.034 11.028037
0.035 11.214953
0.036 12.149533
0.037 12.523364
0.038 13.271028
0.039 13.831776
0.04 14.392523
0.041 14.766355
0.042 14.953271
0.043 15.327103
0.044 16.448598
0.045 16.635514
0.046 16.822430
0.048 17.570093
0.049 18.317757
0.05 18.878505
0.051 20.000000
0.052 20.373832
0.053 20.560748
0.054 21.308411
0.055 21.869159
0.056 22.242991
0.057 22.803738
0.058 23.364486
0.059 23.925234
0.06 24.299065
0.061 24.485981
0.062 25.420561
0.063 25.607477
0.064 25.981308
0.065 26.542056
0.067 26.915888
0.068 27.663551
0.069 27.850467
0.07 28.785047
0.071 29.158879
0.072 29.345794
0.074 30.093458
0.075 30.280374
0.077 31.028037
0.078 31.214953
0.079 31.401869
0.08 31.962617
0.081 32.336449
0.082 32.710280
0.083 32.897196
0.085 33.084112
0.086 33.271028
0.091 33.457944
0.093 33.644860
0.095 34.205607
0.096 34.579439
0.097 34.766355
0.098 35.327103
0.099 35.887850
0.1 36.261682
0.101 36.635514
0.104 36.822430
0.107 37.009346
0.112 37.196262
0.113 37.383178
0.115 37.757009
0.116 37.943925
0.117 38.130841
0.121 38.691589
0.122 38.878505
0.126 39.065421
0.127 39.252336
0.128 39.626168
0.129 39.813084
0.134 40.000000
0.14 40.186916
0.142 40.373832
0.143 40.560748
0.147 40.747664
0.148 40.934579
0.153 41.121495
0.154 41.308411
0.155 41.495327
0.156 41.682243
0.157 41.869159
0.159 42.056075
0.16 42.242991
0.162 42.429907
0.166 42.616822
0.168 42.803738
0.169 43.364486
0.174 43.551402
0.181 43.738318
0.182 43.925234
0.192 44.112150
0.201 44.672897
0.208 44.859813
0.216 45.046729
0.224 45.233645
0.248 45.420561
0.265 45.607477
0.273 45.794393
0.283 45.981308
0.286 46.168224
0.288 46.355140
0.298 46.542056
0.3 46.915888
0.309 47.102804
0.315 47.289720
0.344 47.476636
0.348 47.663551
0.357 47.850467
0.365 48.037383
0.367 48.224299
0.369 48.411215
0.373 48.598131
0.377 48.785047
0.433 48.971963
0.476 49.158879
0.488 49.345794
0.489 49.532710
0.494 49.719626
0.495 49.906542
0.499 50.093458
0.503 50.280374
0.635 50.467290
0.643 50.654206
0.645 50.841121
0.694 51.028037
0.702 51.214953
0.705 51.401869
0.707 51.588785
0.719 51.775701
0.723 51.962617
0.748 52.149533
0.759 52.336449
0.792 52.523364
0.828 52.710280
0.847 52.897196
0.852 53.084112
0.858 53.271028
0.865 53.457944
0.888 53.644860
1.039 53.831776
1.042 54.205607
1.052 54.392523
1.078 54.579439
1.097 54.766355
1.102 54.953271
1.108 55.140187
1.109 55.327103
1.124 55.514019
1.125 55.700935
1.131 55.887850
1.135 56.074766
1.139 56.261682
1.156 56.448598
1.158 56.822430
1.181 57.009346
1.184 57.196262
1.189 57.383178
1.194 57.570093
1.208 57.757009
1.232 57.943925
1.275 58.130841
1.502 58.317757
1.516 58.504673
1.519 58.691589
1.531 58.878505
1.549 59.065421
1.55 59.252336
1.558 59.439252
1.562 59.626168
1.569 59.813084
1.58 60.000000
1.611 60.186916
1.651 60.373832
1.66 60.560748
1.714 60.747664
1.794 60.934579
1.902 61.121495
2.082 61.308411
2.31 61.495327
2.551 61.682243
2.666 61.869159
2.675 62.056075
2.692 62.242991
2.967 62.429907
3.194 62.616822
3.204 62.803738
3.26 62.990654
3.501 63.177570
3.555 63.364486
3.624 63.551402
3.67 63.738318
3.672 63.925234
3.726 64.112150
4.086 64.299065
4.124 64.485981
4.679 64.672897
4.801 64.859813
4.955 65.046729
5.318 65.233645
5.534 65.420561
5.58 65.607477
5.594 65.794393
5.842 65.981308
6.551 66.168224
7.839 66.355140
10.568 66.542056
11.898 66.728972
12.287 66.915888
13.38 67.102804
14.362 67.289720
14.628 67.476636
14.774 67.663551
14.839 67.850467
14.909 68.037383
15.174 68.224299
15.647 68.411215
15.828 68.598131
15.881 68.785047
16.031 68.971963
16.227 69.158879
16.262 69.345794
16.404 69.532710
16.601 69.719626
17.152 69.906542
17.27 70.093458
17.309 70.280374
17.363 70.467290
17.975 70.654206
18.088 70.841121
18.11 71.028037
18.333 71.214953
18.674 71.401869
18.701 71.588785
19.064 71.775701
19.741 71.962617
20.363 72.149533
21.03 72.336449
21.289 72.523364
21.953 72.710280
22.192 72.897196
23.979 73.084112
24.465 73.271028
25.142 73.457944
25.285 73.644860
25.869 73.831776
26.456 74.018692
26.658 74.205607
26.837 74.392523
27.688 74.579439
27.912 74.766355
29.823 74.953271
29.984 75.140187
30.597 75.327103
31.631 75.514019
33.095 75.700935
33.423 75.887850
34.403 76.074766
35.935 76.261682
36.829 76.448598
37.565 76.635514
38.642 76.822430
40.095 77.009346
41.198 77.196262
41.494 77.383178
41.934 77.570093
42.956 77.757009
42.958 77.943925
44.123 78.130841
50.724 78.317757
57.772 78.504673
58.192 78.691589
60.204 78.878505
61.151 79.065421
63.38 79.252336
70.375 79.439252
121.559 79.626168
127.559 79.813084
129.061 80.000000
131.473 80.186916
132.104 80.373832
140.729 80.560748
144.092 80.747664
149.859 80.934579
161.478 81.121495
179.64 81.308411
184.703 81.495327
192.29 81.682243
197.379 81.869159
212.195 82.056075
224.705 82.242991
433.128 82.429907
530.63 82.616822
573.16 82.803738
600 82.803738
