time_seconds solved_percent
0.01 0.000000
0.021 0.560748
0.022 1.308411
0.023 2.056075
0.024 2.242991
0.025 2.803738
0.026 3.364486
0.027 3.925234
0.028 4.299065
0.029 4.859813
0.03 5.420561
0.031 5.794393
0.032 6.355140
0.033 7.663551
0.034 7.850467
0.035 8.598131
0.036 8.971963
0.037 10.093458
0.038 10.467290
0.039 10.841121
0.04 11.028037
0.041 11.588785
0.042 11.962617
0.045 12.336449
0.046 12.710280
0.047 13.644860
0.048 14.579439
0.049 15.700935
0.05 16.261682
0.051 16.635514
0.052 17.196262
0.053 17.383178
0.055 17.570093
0.057 18.317757
0.058 19.626168
0.059 19.813084
0.06 20.186916
0.061 20.373832
0.062 20.560748
0.066 20.934579
0.067 21.869159
0.068 22.242991
0.07 22.803738
0.072 22.990654
0.074 23.177570
0.075 23.551402
0.076 23.738318
0.077 23.925234
0.078 24.112150
0.079 24.485981
0.081 24.672897
0.082 25.046729
0.083 25.420561
0.086 26.168224
0.087 26.542056
0.088 26.728972
0.092 26.915888
0.093 27.102804
0.095 27.289720
0.096 27.476636
0.097 27.850467
0.098 28.037383
0.099 28.224299
0.1 28.411215
0.102 28.598131
0.104 29.158879
0.105 29.532710
0.107 29.719626
0.108 30.093458
0.111 30.280374
0.113 30.467290
0.114 30.654206
0.115 30.841121
0.116 31.028037
0.125 31.214953
0.126 31.401869
0.13 31.588785
0.132 31.775701
0.139 31.962617
0.145 32.149533
0.148 32.336449
0.152 32.523364
0.153 32.710280
0.155 32.897196
0.157 33.084112
0.158 33.271028
0.162 33.457944
0.163 33.831776
0.164 34.018692
0.165 34.205607
0.17 34.392523
0.171 34.579439
0.172 34.766355
0.181 34.953271
0.184 35.140187
0.185 35.327103
0.187 35.700935
0.191 35.887850
0.192 36.074766
0.197 36.261682
0.2 36.448598
0.203 36.635514
0.208 36.822430
0.209 37.009346
0.213 37.383178
0.22 37.570093
0.222 37.757009
0.223 38.130841
0.224 38.317757
0.228 38.504673
0.229 38.691589
0.235 38.878505
0.266 39.065421
0.286 39.252336
0.295 39.439252
0.311 39.626168
0.315 39.813084
0.317 40.000000
0.343 40.186916
0.349 40.373832
0.358 40.560748
0.367 40.747664
0.372 41.121495
0.382 41.308411
0.419 41.495327
0.434 41.682243
0.46 41.869159
0.488 42.056075
0.492 42.242991
0.495 42.429907
0.501 42.803738
0.503 42.990654
0.688 43.177570
0.694 43.364486
0.707 43.551402
0.71 43.738318
0.812 43.925234
0.848 44.112150
0.858 44.299065
0.87 44.485981
0.873 44.672897
0.881 44.859813
0.909 45.046729
0.916 45.233645
1.047 45.420561
1.048 45.607477
1.086 45.794393
1.087 45.981308
1.098 46.168224
1.107 46.355140
1.117 46.728972
1.123 46.915888
1.135 47.102804
1.138 47.289720
1.141 47.476636
1.142 47.663551
1.144 47.850467
1.147 48.037383
1.156 48.224299
1.169 48.411215
1.185 48.598131
1.192 48.785047
1.233 48.971963
1.281 49.158879
1.283 49.345794
1.307 49.532710
1.403 49.719626
1.449 49.906542
1.482 50.093458
1.487 50.280374
1.501 50.467290
1.523 50.654206
1.542 50.841121
1.543 51.028037
1.565 51.214953
1.595 51.588785
1.67 51.775701
1.687 51.962617
1.705 52.149533
1.725 52.336449
1.765 52.523364
1.782 52.710280
1.905 52.897196
1.916 53.084112
2.224 53.271028
2.384 53.457944
2.554 53.644860
2.978 53.831776
3.069 54.018692
