time_seconds solved_percent
0.01 0.000000
0.02 0.186916
0.021 0.373832
0.022 0.560748
0.023 1.308411
0.024 2.242991
0.025 2.616822
0.026 3.177570
0.027 3.738318
0.028 4.485981
0.029 4.859813
0.03 5.981308
0.031 6.915888
0.032 7.663551
0.033 7.850467
0.034 8.785047
0.036 9.532710
0.037 9.719626
0.038 10.467290
0.039 11.028037
0.04 11.214953
0.041 11.588785
0.043 11.775701
0.044 12.149533
0.045 13.271028
0.046 13.644860
0.047 13.831776
0.048 14.392523
0.049 14.579439
0.05 15.514019
0.051 15.887850
0.052 16.261682
0.053 16.448598
0.054 16.635514
0.055 17.383178
0.056 17.943925
0.057 18.691589
0.058 19.065421
0.059 19.439252
0.061 19.813084
0.063 20.000000
0.064 20.186916
0.067 20.560748
0.068 20.934579
0.069 21.121495
0.07 21.495327
0.071 22.056075
0.072 22.242991
0.073 22.803738
0.074 22.990654
0.077 23.551402
0.078 23.925234
0.079 24.299065
0.08 24.485981
0.081 25.233645
0.083 25.420561
0.084 25.794393
0.085 26.168224
0.086 26.542056
0.087 26.728972
0.088 27.102804
0.09 27.289720
0.094 27.476636
0.096 27.663551
0.097 27.850467
0.098 28.785047
0.099 28.971963
0.1 29.532710
0.101 29.719626
0.103 29.906542
0.105 30.654206
0.108 31.214953
0.11 31.401869
0.113 31.588785
0.116 31.775701
0.117 31.962617
0.118 32.149533
0.122 32.336449
0.126 32.523364
0.135 32.710280
0.15 32.897196
0.151 33.084112
0.156 33.644860
0.157 33.831776
0.163 34.018692
0.164 34.205607
0.165 34.579439
0.166 34.766355
0.169 34.953271
0.17 35.140187
0.171 35.327103
0.174 35.514019
0.176 35.700935
0.178 35.887850
0.181 36.074766
0.183 36.261682
0.187 36.448598
0.189 36.635514
0.19 36.822430
0.198 37.009346
0.201 37.196262
0.204 37.383178
0.206 37.570093
0.207 37.757009
0.213 38.130841
0.217 38.317757
0.221 38.504673
0.232 38.691589
0.24 38.878505
0.246 39.065421
0.264 39.252336
0.274 39.439252
0.277 39.626168
0.278 39.813084
0.281 40.000000
0.287 40.186916
0.32 40.373832
0.335 40.560748
0.354 40.747664
0.36 40.934579
0.361 41.308411
0.383 41.495327
0.424 41.682243
0.457 41.869159
0.474 42.056075
0.486 42.242991
0.495 42.429907
0.497 42.616822
0.5 42.803738
0.51 42.990654
0.526 43.177570
0.571 43.364486
0.633 43.551402
0.666 43.738318
0.681 43.925234
0.691 44.112150
0.702 44.299065
0.705 44.485981
0.708 44.672897
0.732 44.859813
0.799 45.046729
0.835 45.233645
0.842 45.420561
0.868 45.607477
