time_seconds solved_percent
0.01 0.000000
0.016 0.186916
0.019 0.373832
0.021 1.121495
0.022 1.682243
0.023 2.242991
0.024 3.177570
0.025 3.925234
0.026 4.485981
0.027 4.672897
0.028 6.728972
0.029 8.411215
0.03 9.906542
0.031 10.841121
0.032 11.588785
0.033 12.523364
0.034 13.644860
0.035 15.887850
0.036 16.822430
0.037 17.757009
0.038 18.691589
0.039 20.186916
0.041 20.560748
0.042 21.121495
0.043 21.308411
0.044 22.242991
0.045 22.803738
0.046 23.925234
0.047 24.485981
0.048 25.420561
0.049 25.607477
0.05 25.981308
0.052 26.355140
0.053 27.102804
0.054 27.850467
0.055 28.037383
0.056 28.411215
0.057 29.345794
0.058 29.532710
0.06 29.906542
0.062 30.280374
0.063 30.654206
0.064 31.028037
0.065 31.401869
0.066 31.775701
0.067 32.149533
0.068 32.710280
0.069 33.271028
0.07 33.457944
0.071 33.644860
0.072 34.018692
0.073 34.579439
0.074 35.140187
0.075 35.700935
0.076 35.887850
0.077 36.074766
0.078 36.261682
0.079 37.009346
0.08 37.383178
0.081 37.570093
0.083 37.757009
0.085 38.317757
0.088 38.691589
0.089 38.878505
0.091 39.065421
0.092 39.252336
0.093 39.439252
0.094 39.813084
0.095 40.186916
0.096 40.560748
0.097 40.747664
0.098 41.121495
0.099 41.308411
0.1 41.495327
0.101 41.682243
0.102 41.869159
0.103 42.056075
0.105 42.242991
0.106 42.429907
0.108 42.990654
0.109 43.177570
0.111 43.364486
0.114 43.738318
0.116 43.925234
0.12 44.112150
0.123 44.485981
0.125 44.672897
0.137 44.859813
0.147 45.046729
0.15 45.233645
0.151 45.607477
0.152 45.981308
0.154 46.355140
0.155 46.728972
0.156 46.915888
0.157 47.289720
0.159 47.476636
0.16 47.663551
0.162 47.850467
0.169 48.037383
0.174 48.224299
0.178 48.411215
0.19 48.785047
0.191 48.971963
0.201 49.158879
0.202 49.345794
0.222 49.532710
0.268 49.719626
0.274 49.906542
0.28 50.093458
0.293 50.280374
0.294 50.467290
0.322 50.654206
0.329 50.841121
0.33 51.028037
0.342 51.214953
0.363 51.401869
0.365 51.588785
0.368 51.775701
0.371 51.962617
0.374 52.149533
0.375 52.336449
0.377 52.523364
0.456 52.710280
0.486 52.897196
0.49 53.084112
0.52 53.271028
0.706 53.457944
0.712 53.644860
0.714 53.831776
0.738 54.018692
0.788 54.205607
0.848 54.392523
0.85 54.579439
0.854 54.766355
0.865 54.953271
0.872 55.140187
1.039 55.327103
1.058 55.514019
1.073 55.700935
1.075 55.887850
1.097 56.074766
1.106 56.261682
1.112 56.448598
1.119 56.635514
1.128 56.822430
1.137 57.009346
1.138 57.196262
1.144 57.383178
1.146 57.757009
1.153 57.943925
1.155 58.130841
1.196 58.317757
1.206 58.504673
1.232 58.691589
1.252 58.878505
1.295 59.065421
1.365 59.252336
1.458 59.439252
1.478 59.626168
1.494 60.000000
1.543 60.186916
1.546 60.373832
1.56 60.560748
1.586 60.934579
1.596 61.121495
1.612 61.308411
1.671 61.495327
1.685 61.682243
1.696 61.869159
1.706 62.056075
1.729 62.242991
2.79 62.429907
2.842 62.616822
2.871 62.803738
3.035 62.990654
3.529 63.177570
3.555 63.364486
3.666 63.551402
3.69 63.738318
3.815 63.925234
3.979 64.112150
4.006 64.299065
4.041 64.485981
4.21 64.672897
4.409 64.859813
4.45 65.046729
4.609 65.233645
5.321 65.420561
5.525 65.607477
6.173 65.794393
6.222 65.981308
6.683 66.168224
7.222 66.355140
8.548 66.542056
9.149 66.728972
9.16 66.915888
9.444 67.102804
11.35 67.289720
12.537 67.476636
13.381 67.663551
13.723 67.850467
14.155 68.037383
14.224 68.411215
14.364 68.598131
14.786 68.785047
15.247 68.971963
15.417 69.158879
15.516 69.345794
15.543 69.532710
15.62 69.719626
15.759 69.906542
15.8 70.093458
15.955 70.280374
16.392 70.467290
16.779 70.654206
17.75 70.841121
18.154 71.028037
18.537 71.214953
18.849 71.401869
19.713 71.588785
20.024 71.775701
20.198 71.962617
20.361 72.149533
20.457 72.336449
21.332 72.523364
21.456 72.710280
21.775 72.897196
22.412 73.084112
22.722 73.271028
23.643 73.457944
24.536 73.644860
24.658 73.831776
25.162 74.018692
25.794 74.205607
25.986 74.392523
27.553 74.579439
28.507 74.766355
28.634 74.953271
28.775 75.140187
29.93 75.327103
31.132 75.514019
31.329 75.700935
33.588 75.887850
33.807 76.074766
34.234 76.261682
37.301 76.448598
37.479 76.635514
38.823 76.822430
39.168 77.009346
41.249 77.196262
41.585 77.383178
42.184 77.570093
45.426 77.757009
46.118 77.943925
46.576 78.130841
47.023 78.317757
48.961 78.504673
51.812 78.691589
55.165 78.878505
61.986 79.065421
65.194 79.252336
65.407 79.439252
66.411 79.626168
66.895 79.813084
68.349 80.000000
69.01 80.186916
124.022 80.373832
124.056 80.560748
125.212 80.747664
128.593 80.934579
136.059 81.121495
136.173 81.308411
136.296 81.495327
138.121 81.682243
141.294 81.869159
169.396 82.056075
179.241 82.242991
181.15 82.429907
187.452 82.616822
224.907 82.803738
268.719 82.990654
277.796 83.177570
301.201 83.364486
357.033 83.551402
440.421 83.738318
542.665 83.925234
572.529 84.112150
595.133 84.299065
600 84.299065
