time_seconds solved_percent
0.01 0.000000
0.02 0.186916
0.021 0.373832
0.022 1.308411
0.023 1.869159
0.025 2.056075
0.026 2.803738
0.027 3.364486
0.028 4.299065
0.029 5.607477
0.03 6.542056
0.031 7.476636
0.032 7.663551
0.033 8.411215
0.034 8.598131
0.035 9.719626
0.036 10.280374
0.037 10.467290
0.038 10.654206
0.039 11.588785
0.04 12.149533
0.042 12.336449
0.043 12.897196
0.044 13.457944
0.046 13.644860
0.047 14.392523
0.048 14.953271
0.049 15.700935
0.05 16.448598
0.051 17.196262
0.053 17.757009
0.054 18.130841
0.055 18.878505
0.056 19.439252
0.057 19.813084
0.058 20.186916
0.059 20.747664
0.06 21.121495
0.062 21.308411
0.064 21.495327
0.066 21.869159
0.067 22.242991
0.068 22.803738
0.069 22.990654
0.071 23.738318
0.072 23.925234
0.073 24.112150
0.074 24.299065
0.075 24.672897
0.076 25.233645
0.077 25.607477
0.079 25.981308
0.08 26.542056
0.083 26.728972
0.084 27.102804
0.085 27.663551
0.086 28.037383
0.089 28.598131
0.09 28.785047
0.091 28.971963
0.092 29.158879
0.094 29.532710
0.095 29.719626
0.097 30.093458
0.098 30.654206
0.1 31.214953
0.101 31.775701
0.102 31.962617
0.105 32.149533
0.106 32.336449
0.107 32.710280
0.108 32.897196
0.109 33.084112
0.112 33.457944
0.115 33.644860
0.117 34.018692
0.128 34.205607
0.129 34.392523
0.13 34.579439
0.133 34.766355
0.145 34.953271
0.155 35.327103
0.156 35.514019
0.157 35.887850
0.158 36.074766
0.159 36.261682
0.16 36.448598
0.162 36.822430
0.166 37.009346
0.168 37.196262
0.169 37.383178
0.17 37.570093
0.172 37.757009
0.181 37.943925
0.183 38.130841
0.186 38.317757
0.19 38.504673
0.201 38.691589
0.202 38.878505
0.204 39.065421
0.207 39.252336
0.208 39.439252
0.21 39.813084
0.216 40.186916
0.225 40.373832
0.228 40.560748
0.23 40.747664
0.241 40.934579
0.26 41.121495
0.275 41.308411
0.28 41.495327
0.283 41.682243
0.286 41.869159
0.294 42.056075
0.315 42.242991
0.319 42.429907
0.341 42.616822
0.351 42.803738
0.352 42.990654
0.355 43.177570
0.366 43.364486
0.367 43.551402
0.392 43.738318
0.41 43.925234
0.416 44.112150
0.428 44.299065
0.487 44.485981
0.494 44.672897
0.501 44.859813
0.503 45.046729
0.507 45.233645
0.509 45.420561
0.522 45.607477
0.596 45.794393
0.67 45.981308
0.685 46.168224
0.694 46.355140
0.703 46.542056
0.705 46.728972
0.793 46.915888
0.798 47.102804
0.8 47.289720
0.815 47.476636
0.84 47.663551
